ID,AUTHOR,FILENAME,DATEEXECUTED,ORDEREXECUTED,EXECTYPE,MD5SUM,DESCRIPTION,COMMENTS,TAG,LIQUIBASE,CONTEXTS,LABELS,DEPLOYMENT_ID
"9999","yogananda","0509-1/CR1.sql","2022-06-21 12:27:13.2790000",1,"EXECUTED","8:1b9b6b8f8c7cea281adeceed6d38d1ad","sql","",,"4.8.0",,,"5839633166"
"1","sivas","CR1/SIVA.sql","2022-06-24 03:02:51.4900000",2,"EXECUTED","8:e07335c0be6b4f941554762a62171aa0","sql","",,"4.8.0",,,"6064971461"
"2","sivas","CR1/SIVA.sql","2022-06-24 03:20:46.6390000",3,"EXECUTED","8:db9573bf1244201d771245ca5ebc60dc","sql","","siva5","4.8.0",,,"6066046620"
"9998","yogananda","folder1/CR1.sql","2022-06-28 10:25:48.7550000",4,"EXECUTED","8:1a554a7588e23a332d14871645122d9b","sql","Initial creation of table Yogananda",,"4.8.0",,,"6437148747"
"999","yogananda","folder1/CR1.sql","2022-06-28 10:25:48.7700000",5,"EXECUTED","8:d0a6f5d790068418b51a002cdfa2683a","sql","Initial creation of table Yogananda",,"4.8.0",,,"6437148747"
